"papername" "posttime" "count_of_read" "paperlink"
"1" "[转载]互联网+  新瓶装旧酒" 2015-12-19 "642 次阅读" "http://blog.sciencenet.cn/blog-556556-944384.html"
"2" "[转载]中国当前的六大“合法骗子”集中地！" 2015-09-28 "914 次阅读" "http://blog.sciencenet.cn/blog-556556-924116.html"
"3" "很多事情很简单，不知道为什么砖家要搞的故弄玄虚" 2015-06-16 "4889 次阅读" "http://blog.sciencenet.cn/blog-556556-898425.html"
"4" "[转载]楼继伟应该向管仲学习学习" 2015-05-07 "941 次阅读" "http://blog.sciencenet.cn/blog-556556-888192.html"
"5" "此均值非彼均值" 2015-03-08 "1592 次阅读" "http://blog.sciencenet.cn/blog-556556-872813.html"
"6" "[转载]孔丘、孔子、孔老二，它究竟是一只什么鸟？" 2015-02-10 "1222 次阅读" "http://blog.sciencenet.cn/blog-556556-866932.html"
"7" "大数据分析之——k-means聚类中的坑" 2015-01-18 "4339 次阅读" "http://blog.sciencenet.cn/blog-556556-860647.html"
"8" "大数据分析之——足彩数据趴取" 2015-01-10 "5175 次阅读" "http://blog.sciencenet.cn/blog-556556-858171.html"
"9" "[转载]老王这次要摊事了，当年他主管的部门是事被重新抖出来。" 2015-01-05 "1618 次阅读" "http://blog.sciencenet.cn/blog-556556-856705.html"
"10" "[转载]党卫军是这样抓人的。" 2015-01-05 "1146 次阅读" "http://blog.sciencenet.cn/blog-556556-856640.html"
"11" "[转载]这么多老虎围在他身边，组成了一个严严实实的糊紧套！" 2015-01-05 "1365 次阅读" "http://blog.sciencenet.cn/blog-556556-856528.html"
"12" "大数据分析之——协作网络" 2015-01-02 "1081 次阅读" "http://blog.sciencenet.cn/blog-556556-855829.html"
"13" "大数据分析之——数据提取" 2015-01-01 "2096 次阅读" "http://blog.sciencenet.cn/blog-556556-855593.html"
"14" "javascript中的数据提取" 2014-12-19 "3381 次阅读" "http://blog.sciencenet.cn/blog-556556-852270.html"
"15" "rvest + CSS Selector 网页数据抓取的最佳选择" 2014-12-11 "6509 次阅读" "http://blog.sciencenet.cn/blog-556556-850288.html"
"16" "安徽各市区PM2.5监测站数量" 2014-12-05 "1414 次阅读" "http://blog.sciencenet.cn/blog-556556-848696.html"
"17" "抓取xml网页数据" 2014-12-02 "1406 次阅读" "http://blog.sciencenet.cn/blog-556556-847971.html"
"18" "rvest抓取网络数据的利器" 2014-11-28 "3039 次阅读" "http://blog.sciencenet.cn/blog-556556-846929.html"
"19" "马尔科夫链的状态转移矩阵的求法" 2014-11-20 "4534 次阅读" "http://blog.sciencenet.cn/blog-556556-844882.html"
"20" "[转载]别老扯什么Hadoop了，你的数据根本不够大" 2014-11-15 "1205 次阅读" "http://blog.sciencenet.cn/blog-556556-843654.html"
"21" "演示一下用R处理非规则数据的犀利性" 2014-11-03 "943 次阅读" "http://blog.sciencenet.cn/blog-556556-840813.html"
"22" "谁是发帖王" 2014-10-30 "1214 次阅读" "http://blog.sciencenet.cn/blog-556556-839785.html"
"23" "2014中国中小城市综合实力百强镇" 2014-10-19 "1092 次阅读" "http://blog.sciencenet.cn/blog-556556-836994.html"
"24" "KNN推荐算法可视化" 2014-10-18 "1774 次阅读" "http://blog.sciencenet.cn/blog-556556-836621.html"
"25" "分析一篇通告的词类关系" 2014-10-14 "883 次阅读" "http://blog.sciencenet.cn/blog-556556-835627.html"
"26" "用R解析Mahout用户推荐协同过滤算法(UserCF)" 2014-10-12 "1864 次阅读" "http://blog.sciencenet.cn/blog-556556-835056.html"
"27" "[转载]孔子的十大糟粕思想" 2014-09-28 "1026 次阅读" "http://blog.sciencenet.cn/blog-556556-831391.html"
"28" "用R轻松实现Market Profile的功能" 2014-09-15 "1639 次阅读" "http://blog.sciencenet.cn/blog-556556-827955.html"
"29" "[转载]一些对数学领域及数学研究的个人看法" 2014-09-06 "1798 次阅读" "http://blog.sciencenet.cn/blog-556556-825507.html"
"30" "[转载]中国触目惊心的腐败可谓是前无古人后无来者" 2014-09-05 "1659 次阅读" "http://blog.sciencenet.cn/blog-556556-825291.html"
"31" "由lattice转到ggplot了" 2014-09-05 "1176 次阅读" "http://blog.sciencenet.cn/blog-556556-825260.html"
"32" "显示时间" 2014-09-01 "913 次阅读" "http://blog.sciencenet.cn/blog-556556-824149.html"
"33" "[转载]用R实现LED显示" 2014-08-30 "795 次阅读" "http://blog.sciencenet.cn/blog-556556-823510.html"
"34" "[转载]兔子就是鸭，鸭就是兔子" 2014-08-06 "939 次阅读" "http://blog.sciencenet.cn/blog-556556-817624.html"
"35" "[转载]上海书记隔三倒一" 2014-08-04 "922 次阅读" "http://blog.sciencenet.cn/blog-556556-817032.html"
"36" "[转载]中国历朝历代，“卖国贼”做“宰相”，必亡！。" 2014-07-31 "1081 次阅读" "http://blog.sciencenet.cn/blog-556556-816034.html"
"37" "特征函数的可视化" 2014-07-19 "1557 次阅读" "http://blog.sciencenet.cn/blog-556556-812980.html"
"38" "黎曼积分与勒贝格积分" 2014-07-17 "8375 次阅读" "http://blog.sciencenet.cn/blog-556556-812508.html"
"39" "[转载]预测也可以这样做。" 2014-07-13 "1014 次阅读" "http://blog.sciencenet.cn/blog-556556-811234.html"
"40" "黎斯定理可视化" 2014-06-17 "1393 次阅读" "http://blog.sciencenet.cn/blog-556556-804146.html"
"41" "[转载]中国终于要对越南开战了" 2014-05-21 "1125 次阅读" "http://blog.sciencenet.cn/blog-556556-796428.html"
"42" "[转载]入世协议中不平等和卖国的部分内容 闹市闲人" 2014-03-30 "1238 次阅读" "http://blog.sciencenet.cn/blog-556556-780400.html"
"43" "终于看见我们国家开始大幅减持美债了。" 2014-02-19 "1561 次阅读" "http://blog.sciencenet.cn/blog-556556-768889.html"
"44" "作死的前奏" 2014-01-13 "1383 次阅读" "http://blog.sciencenet.cn/blog-556556-758765.html"
"45" "[转载]白大教授，有水平：中国现有制度最优越，是世界公认的" 2014-01-13 "1651 次阅读" "http://blog.sciencenet.cn/blog-556556-758629.html"
"46" "让汉字在图中乱飞" 2014-01-07 "1505 次阅读" "http://blog.sciencenet.cn/blog-556556-756800.html"
"47" "[转载]令人向往的封建社会" 2014-01-02 "1055 次阅读" "http://blog.sciencenet.cn/blog-556556-755037.html"
"48" "[转载]用汇率“消灭”中国！" 2013-12-27 "1004 次阅读" "http://blog.sciencenet.cn/blog-556556-753389.html"
"49" "[转载]新自由主义的私有化——私有化便宜了谁" 2013-12-24 "1417 次阅读" "http://blog.sciencenet.cn/blog-556556-752450.html"
"50" "Merry Christmas" 2013-12-23 "1184 次阅读" "http://blog.sciencenet.cn/blog-556556-752236.html"
"51" "[转载]惊天动地！真正的大老虎快现形了." 2013-12-23 "6193 次阅读" "http://blog.sciencenet.cn/blog-556556-752217.html"
"52" "圣诞树" 2013-12-22 "1092 次阅读" "http://blog.sciencenet.cn/blog-556556-752012.html"
"53" "[转载]经济学界应该反“三俗”——中国的庸俗经济学和庸俗经济学家" 2013-12-22 "888 次阅读" "http://blog.sciencenet.cn/blog-556556-751988.html"
"54" "不错的自己养老方法" 2013-11-29 "1266 次阅读" "http://blog.sciencenet.cn/blog-556556-745671.html"
"55" "[转载]震惊！——“中国人保家卫国违法“！" 2013-11-24 "1071 次阅读" "http://blog.sciencenet.cn/blog-556556-744377.html"
"56" "[转载]中国9月大幅增持美债 持有总额再逼1.3万亿美元" 2013-11-19 "771 次阅读" "http://blog.sciencenet.cn/blog-556556-743031.html"
"57" "[转载]贱人又被打脸：两架中国飞机运来救援物资 菲不许其降落" 2013-11-19 "948 次阅读" "http://blog.sciencenet.cn/blog-556556-743012.html"
"58" "[转载]刘鹤们有责任借鉴马谡失街亭" 2013-11-13 "899 次阅读" "http://blog.sciencenet.cn/blog-556556-741309.html"
"59" "[转载]喂人民服雾" 2013-11-07 "2325 次阅读" "http://blog.sciencenet.cn/blog-556556-739756.html"
"60" "2013年中国给美国的保护费有增无减" 2013-11-04 "1222 次阅读" "http://blog.sciencenet.cn/blog-556556-738997.html"
"61" "[转载]长期潜伏中国的方舟子，被人肉，真是身份是孟山都编内员工" 2013-10-26 "2135 次阅读" "http://blog.sciencenet.cn/blog-556556-736366.html"
"62" "[转载]季烈侯列传" 2013-10-20 "1910 次阅读" "http://blog.sciencenet.cn/blog-556556-734312.html"
"63" "清华教授又有雷人语言" 2013-10-16 "1265 次阅读" "http://blog.sciencenet.cn/blog-556556-733471.html"
"64" "[转载]大数据时代，重新定义数据图表的时候到了" 2013-10-15 "1137 次阅读" "http://blog.sciencenet.cn/blog-556556-733191.html"
"65" "[转载]黑客是怎样破译你的密码的？" 2013-10-14 "1320 次阅读" "http://blog.sciencenet.cn/blog-556556-732747.html"
"66" "[转载]南京国民政府初期的建都之争" 2013-09-22 "1280 次阅读" "http://blog.sciencenet.cn/blog-556556-726916.html"
"67" "[转载]唯恐中国不乱者-----清华教授杨燕绥！" 2013-09-13 "1264 次阅读" "http://blog.sciencenet.cn/blog-556556-724474.html"
"68" "[转载]美帝审计署撕下了孔子学院的画皮" 2013-08-30 "1260 次阅读" "http://blog.sciencenet.cn/blog-556556-721045.html"
"69" "[转载]集结号" 2013-08-29 "822 次阅读" "http://blog.sciencenet.cn/blog-556556-720544.html"
"70" "薄案对联" 2013-08-28 "914 次阅读" "http://blog.sciencenet.cn/blog-556556-720297.html"
"71" "[转载]新华社炮轰上海证券交易所：无能失职低劣 公众需答案" 2013-08-25 "1124 次阅读" "http://blog.sciencenet.cn/blog-556556-719483.html"
"72" "刘纪鹏这种人是怎么混到教授的位置上的呢？" 2013-08-24 "2032 次阅读" "http://blog.sciencenet.cn/blog-556556-719321.html"
"73" "证监会与光大证券相互强奸" 2013-08-18 "1112 次阅读" "http://blog.sciencenet.cn/blog-556556-717898.html"
"74" "[转载]写给清华的话" 2013-08-17 "1190 次阅读" "http://blog.sciencenet.cn/blog-556556-717657.html"
"75" "[转载]南天一剑:给自私昏庸的人社部一个建设性建议" 2013-08-17 "1065 次阅读" "http://blog.sciencenet.cn/blog-556556-717591.html"
"76" "[转载]向胡鞍钢教授请教（增补）----赵士林" 2013-08-17 "1069 次阅读" "http://blog.sciencenet.cn/blog-556556-717493.html"
"77" "[转载]俄罗斯《公报》回应新华社《中国若动荡，只会比苏联更惨》。" 2013-08-16 "1063 次阅读" "http://blog.sciencenet.cn/blog-556556-717288.html"
"78" "[转载]吸取上海法官被拍教训，河南规定公共场所视频外泄，罚款3万。" 2013-08-04 "1134 次阅读" "http://blog.sciencenet.cn/blog-556556-714040.html"
"79" "南京应该是复国之都" 2013-08-03 "1149 次阅读" "http://blog.sciencenet.cn/blog-556556-713814.html"
"80" "中国要出戈尔巴乔夫了" 2013-08-03 "995 次阅读" "http://blog.sciencenet.cn/blog-556556-713688.html"
"81" "秦桧其实就是一个临时工" 2013-08-01 "1083 次阅读" "http://blog.sciencenet.cn/blog-556556-713047.html"
"82" "全中国只有9个省挣钱，其它的都是赔货。" 2013-07-31 "1516 次阅读" "http://blog.sciencenet.cn/blog-556556-712747.html"
"83" "[转载]胡鞍钢同志的逸事。笑死人！" 2013-07-24 "1418 次阅读" "http://blog.sciencenet.cn/blog-556556-710872.html"
"84" "[转载]周星驰的电影有远见啊" 2013-07-24 "1248 次阅读" "http://blog.sciencenet.cn/blog-556556-710765.html"
"85" "[转载]分形艺术作品：在坠落的那一刻惊呆了" 2013-07-22 "1453 次阅读" "http://blog.sciencenet.cn/blog-556556-710407.html"
"86" "[转载]岳飞打仗了不得哎，地图是四野的" 2013-07-21 "1553 次阅读" "http://blog.sciencenet.cn/blog-556556-710111.html"
"87" "清华怎么尽出这类吊人。" 2013-07-20 "1739 次阅读" "http://blog.sciencenet.cn/blog-556556-709678.html"
"88" "[转载]鬼城频现，挥霍多少公帑。" 2013-07-18 "1118 次阅读" "http://blog.sciencenet.cn/blog-556556-709318.html"
"89" "[转载]孔老二被斩首了。" 2013-07-17 "2356 次阅读" "http://blog.sciencenet.cn/blog-556556-708780.html"
"90" "连亏两天" 2013-07-16 "885 次阅读" "http://blog.sciencenet.cn/blog-556556-708635.html"
"91" "中国开放投资准入权" 2013-07-15 "1255 次阅读" "http://blog.sciencenet.cn/blog-556556-708245.html"
"92" "程序化交易结硕果" 2013-07-14 "1134 次阅读" "http://blog.sciencenet.cn/blog-556556-707981.html"
"93" "搞笑的反导系统叫法" 2013-07-13 "1266 次阅读" "http://blog.sciencenet.cn/blog-556556-707842.html"
"94" "[转载]各国的宣传都半斤八两" 2013-07-13 "1967 次阅读" "http://blog.sciencenet.cn/blog-556556-707770.html"
"95" "[转载]四川暴雨，到底有多暴?" 2013-07-11 "1028 次阅读" "http://blog.sciencenet.cn/blog-556556-707209.html"
"96" "[转载]王莽的棋局" 2013-07-01 "831 次阅读" "http://blog.sciencenet.cn/blog-556556-704211.html"
"97" "[转载]一条在银行员工中热传的自嘲短信" 2013-06-30 "1023 次阅读" "http://blog.sciencenet.cn/blog-556556-703885.html"
"98" "[转载]如果轮奸不叫轮奸，叫轮流发生性关系——那么" 2013-06-29 "2496 次阅读" "http://blog.sciencenet.cn/blog-556556-703668.html"
"99" "[转载]苏州数名客户穿白服戴高帽 身书“工行理财欺诈”维权" 2013-06-26 "2803 次阅读" "http://blog.sciencenet.cn/blog-556556-702883.html"
